transaction_id,user_id,amount,merchant_category,location,timestamp,device_type,user_age,account_age_days,transaction_count_24h,avg_transaction_amount,is_foreign_transaction,is_weekend,hour_of_day,is_fraud,day_of_week,month,is_month_end,is_month_start,time_since_last_transaction,transaction_count_7d,transaction_count_30d,amount_zscore,amount_percentile,amount_rolling_mean_7d,amount_rolling_std_7d,location_changed,device_changed,merchant_category_changed,risk_score,amount_x_transaction_count,amount_x_is_foreign,transaction_count_x_is_foreign,is_rush_hour,is_off_hours,avg_amount_ratio,transaction_velocity
TXN_009348,USER_3120,32.49,Gas,CA,2025-12-24 04:59:06.240947,Mobile,50,1419,1,17.09,0,0,2,0,2,12,0,0,492.5333979655556,5.0,5.0,-0.3801124514639521,0.6,51.410000000000004,49.774744097785174,1,1,1,0.2,32.49,0.0,0,0,1,1.7960199004975126,0.00202990703458136
TXN_003062,USER_2314,10.71,Pharmacy,ES,2025-01-06 18:57:05.815976,Desktop,32,1193,2,29.83,0,0,0,0,0,1,0,0,24.0,1.0,1.0,0.0,1.0,10.71,0.0,1,1,1,0.2,21.42,0.0,0,0,1,0.34738890690885504,0.08298755186721991
TXN_009114,USER_0820,10.37,Other,IT,2025-04-30 12:16:06.225021,Mobile,19,3087,3,39.99,1,0,4,0,2,4,1,0,24.0,1.0,1.0,0.0,1.0,10.37,0.0,1,1,1,0.4,31.11,10.37,3,0,1,0.25298853378872893,0.12448132780082986
TXN_006211,USER_2348,44.24,Pharmacy,CA,2025-08-09 20:47:06.031228,Mobile,28,2924,3,20.47,0,0,5,0,5,8,0,0,3544.283298581111,3.0,3.0,-0.44225126287662764,0.6666666666666666,83.85000000000001,89.56447007602958,1,0,1,0.2,132.72,0.0,0,0,1,2.0605496040987425,0.0008464095858935351
TXN_005040,USER_2226,153.94,Grocery,BE,2025-02-10 10:54:05.952096,ATM,74,2025,4,25.9,0,0,16,0,0,2,0,0,910.3499100405556,2.0,2.0,-0.07407990425368881,0.6,276.84000000000003,173.80684681565342,1,1,1,0.1,615.76,0.0,0,0,0,5.7226765799256505,0.004393432253534762
TXN_007721,USER_3166,43.34,Other,NL,2025-09-13 06:40:06.131611,Desktop,21,1395,2,59.72,0,0,20,0,5,9,0,0,3207.766709444444,2.0,2.0,-0.73015583340801,0.3333333333333333,57.925000000000004,20.626304807211593,1,0,1,0.1,86.68,0.0,0,0,0,0.713768115942029,0.0006234673012166304
TXN_007340,USER_0277,1140.81,Other,IT,2025-09-04 01:57:06.106131,Tablet,71,2626,5,62.99,0,1,4,0,3,9,0,1,3884.066708358611,2.0,2.0,1.4997508418593988,1.0,573.235,802.6722626639095,1,1,1,0.4,5704.049999999999,0.0,0,0,1,17.827941865916547,0.0012872773944640815
TXN_007080,USER_2583,36.74,Entertainment,US,2025-09-24 21:08:06.088865,Desktop,42,3195,2,16.15,0,0,12,0,2,9,0,0,160.3000161352778,4.0,4.0,-0.44799792892392815,0.5,96.6625,133.7561987037112,1,1,1,0.1,73.48,0.0,0,0,0,2.1422740524781343,0.012468826675885399
TXN_004480,USER_3179,20.57,Travel,US,2025-02-27 18:50:05.913296,ATM,24,2393,0,29.28,0,0,6,0,3,2,1,0,24.0,1.0,1.0,0.0,1.0,20.57,0.0,1,1,1,0.1,0.0,0.0,0,0,0,0.679326287978864,0.0
TXN_003754,USER_0218,75.27,Retail,UK,2025-05-24 13:07:05.863167,Mobile,55,2147,3,60.55,1,0,23,0,5,5,0,0,24.0,1.0,1.0,0.0,1.0,75.27,0.0,1,1,1,0.4,225.81,75.27,3,0,1,1.2229082047116167,0.12448132780082986
